Year,Bank,KeywordIndex,TotalResults
2024,Jammu and Kashmir Bank Ltd,Kw2,6
2024,Jammu and Kashmir Bank Ltd,Kw3,0
2024,Jammu and Kashmir Bank Ltd,Kw4,0
2024,Jammu and Kashmir Bank Ltd,Kw5,2
2024,Jammu and Kashmir Bank Ltd,Kw6,5
2024,Jammu and Kashmir Bank Ltd,Kw7,0
2024,Jammu and Kashmir Bank Ltd,Kw8,0
2024,Jammu and Kashmir Bank Ltd,Kw9,1
2024,Jammu and Kashmir Bank Ltd,Kw10,0
2024,Jammu and Kashmir Bank Ltd,Kw11,0
2024,Jammu and Kashmir Bank Ltd,Kw12,82
2024,Jammu and Kashmir Bank Ltd,Kw13,3
2024,DBS Group Holdings Ltd,Kw1,33
2024,DBS Group Holdings Ltd,Kw2,25
2024,DBS Group Holdings Ltd,Kw3,14
2024,DBS Group Holdings Ltd,Kw4,6
2024,DBS Group Holdings Ltd,Kw5,16
2024,DBS Group Holdings Ltd,Kw6,32
2024,DBS Group Holdings Ltd,Kw7,6
2024,DBS Group Holdings Ltd,Kw8,0
2024,DBS Group Holdings Ltd,Kw9,67
2024,DBS Group Holdings Ltd,Kw10,58
2024,DBS Group Holdings Ltd,Kw11,3
2024,DBS Group Holdings Ltd,Kw12,19
2024,DBS Group Holdings Ltd,Kw13,14
2024,Bank of India Ltd,Kw1,7
2024,Bank of India Ltd,Kw2,5
2024,Bank of India Ltd,Kw3,2
2024,Bank of India Ltd,Kw4,2
2024,Bank of India Ltd,Kw5,1
2024,Bank of India Ltd,Kw6,3
2024,Bank of India Ltd,Kw7,1
2024,Bank of India Ltd,Kw8,0
2024,Bank of India Ltd,Kw9,7
2024,Bank of India Ltd,Kw10,3
2024,Bank of India Ltd,Kw11,2
2024,Bank of India Ltd,Kw12,2
2024,Bank of India Ltd,Kw13,5
2024,IDBI Bank Ltd,Kw1,6
2024,IDBI Bank Ltd,Kw2,5
2024,IDBI Bank Ltd,Kw3,4
2024,IDBI Bank Ltd,Kw4,1
2024,IDBI Bank Ltd,Kw5,3
2024,IDBI Bank Ltd,Kw6,1
2024,IDBI Bank Ltd,Kw7,0
2024,IDBI Bank Ltd,Kw8,0
2024,IDBI Bank Ltd,Kw9,1
2024,IDBI Bank Ltd,Kw10,1
2024,IDBI Bank Ltd,Kw11,0
2024,IDBI Bank Ltd,Kw12,1
2024,IDBI Bank Ltd,Kw13,4
2024,Karur Vysya Bank Ltd,Kw1,1
2024,Karur Vysya Bank Ltd,Kw2,16
2024,Karur Vysya Bank Ltd,Kw3,0
2024,Karur Vysya Bank Ltd,Kw4,0
2024,Karur Vysya Bank Ltd,Kw5,2
2024,Karur Vysya Bank Ltd,Kw6,2
2024,Karur Vysya Bank Ltd,Kw7,0
2024,Karur Vysya Bank Ltd,Kw8,0
2024,Karur Vysya Bank Ltd,Kw9,0
2024,Karur Vysya Bank Ltd,Kw10,1
2024,Karur Vysya Bank Ltd,Kw11,0
2024,Karur Vysya Bank Ltd,Kw12,0
2024,Karur Vysya Bank Ltd,Kw13,0
2024,South Indian Bank Ltd,Kw1,8
2024,South Indian Bank Ltd,Kw2,4
2024,South Indian Bank Ltd,Kw3,4
2024,South Indian Bank Ltd,Kw4,2
2024,South Indian Bank Ltd,Kw5,1
2024,South Indian Bank Ltd,Kw6,1
2024,South Indian Bank Ltd,Kw7,2
2024,South Indian Bank Ltd,Kw8,0
2024,South Indian Bank Ltd,Kw9,5
2024,South Indian Bank Ltd,Kw10,2
2024,South Indian Bank Ltd,Kw11,3
2024,South Indian Bank Ltd,Kw12,4
2024,South Indian Bank Ltd,Kw13,6
2024,Axis Bank Ltd,Kw1,814
2024,Axis Bank Ltd,Kw2,813
2024,Axis Bank Ltd,Kw3,16
2024,Axis Bank Ltd,Kw4,4
2024,Axis Bank Ltd,Kw5,116
2024,Axis Bank Ltd,Kw6,6
2024,Axis Bank Ltd,Kw7,0
2024,Axis Bank Ltd,Kw8,0
2024,Axis Bank Ltd,Kw9,795
2024,Axis Bank Ltd,Kw10,856
2024,Axis Bank Ltd,Kw11,8
2024,Axis Bank Ltd,Kw12,790
2024,Axis Bank Ltd,Kw13,124
2024,Federal Bank Ltd,Kw1,30
2024,Federal Bank Ltd,Kw2,4
2024,Federal Bank Ltd,Kw3,2
2024,Federal Bank Ltd,Kw4,1
2024,Federal Bank Ltd,Kw5,2
2024,Federal Bank Ltd,Kw6,3
2024,Federal Bank Ltd,Kw7,0
2024,Federal Bank Ltd,Kw8,0
2024,Federal Bank Ltd,Kw9,2
2024,Federal Bank Ltd,Kw10,28
2024,Federal Bank Ltd,Kw11,0
2024,Federal Bank Ltd,Kw12,28
2024,Federal Bank Ltd,Kw13,4
2024,Ping An Bank Co Ltd,Kw1,0
2024,Ping An Bank Co Ltd,Kw2,0
2024,Ping An Bank Co Ltd,Kw3,0
2024,Ping An Bank Co Ltd,Kw4,0
2024,Ping An Bank Co Ltd,Kw5,0
2024,Ping An Bank Co Ltd,Kw6,0
2024,Ping An Bank Co Ltd,Kw7,0
2024,Ping An Bank Co Ltd,Kw8,0
2024,Ping An Bank Co Ltd,Kw9,0
2024,Ping An Bank Co Ltd,Kw10,0
2024,Ping An Bank Co Ltd,Kw11,0
2024,Ping An Bank Co Ltd,Kw12,21
2024,Ping An Bank Co Ltd,Kw13,0
2024,Shanghai Pudong Development Bank Co Ltd,Kw1,0
2024,Shanghai Pudong Development Bank Co Ltd,Kw2,0
2024,Shanghai Pudong Development Bank Co Ltd,Kw3,0
2024,Shanghai Pudong Development Bank Co Ltd,Kw4,0
2024,Shanghai Pudong Development Bank Co Ltd,Kw5,0
2024,Shanghai Pudong Development Bank Co Ltd,Kw6,0
2024,Shanghai Pudong Development Bank Co Ltd,Kw7,0
2024,Shanghai Pudong Development Bank Co Ltd,Kw8,0
2024,Shanghai Pudong Development Bank Co Ltd,Kw9,0
2024,Shanghai Pudong Development Bank Co Ltd,Kw10,0
2024,Shanghai Pudong Development Bank Co Ltd,Kw11,0
2024,Shanghai Pudong Development Bank Co Ltd,Kw12,1
2024,Shanghai Pudong Development Bank Co Ltd,Kw13,0
2024,Bank of Baroda Ltd,Kw1,304
2024,Bank of Baroda Ltd,Kw2,225
2024,Bank of Baroda Ltd,Kw3,3
2024,Bank of Baroda Ltd,Kw4,1
2024,Bank of Baroda Ltd,Kw5,5
2024,Bank of Baroda Ltd,Kw6,216
